PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40029350,Repeated chest wall reconstruction after resection of a sternal chondroid chordoma with long-term postoperative infection of the reconstructive material.,2023,,,N/A
40026684,Quitting smoking after a cancer diagnosis is associated with reductions in stigma and anxiety: A longitudinal mediation analysis.,2023,,,N/A
39996358,Tracking a Fatal Disease: Lower Limb Gas Gangrene's Mortality-Related Factors.,2023,,,N/A
39990539,Designing and cloning of fusion protein CpsA-CpsC-L-ACAN.,2023,,,N/A
39990528,"Immunohistochemistry expression of stem cell markers SOX2, OCT4, CD133 in different grades of meningiomas and correlation with Ki 67 index.",2023,,,N/A
39989910,Med-ImageTools: An open-source Python package for robust data processing pipelines and curating medical imaging data.,2025,,,N/A
39978884,Evaluation of central nervous system involvement in patients undergoing chimeric antigen receptor-engineered T-cell therapy by magnetic resonance imaging.,2023,,,ajarenba95@gmail.com.
39963375,Cigarette smoke alters circRNA expression in human T-cells.,2024,,,N/A
39959686,Complex Roles of <i>PTPN11</i>/SHP2 in Carcinogenesis and Prospect of Targeting SHP2 in Cancer Therapy.,2023,,,N/A
39959599,Intravitreal Aflibercept for Diffuse Choroidal Hemangioma in Sturge-Weber Syndrome.,2024,,,N/A
